h,k,l,h_cor,k_cor,l_cor,h_err,k_err,l_err,volume,volume_err,fwhm volume,fwhm err,intensity_exp,intensity_exp_err,intensity_sim,combined_intensities
-0.5,-0.5,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06694004,0
0.5,-0.5,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06740141,0
-1.5,-0.5,0.0,-1.5638383838383838,-0.5703030303030303,-0.0703030303030303,1.42,1.5,0.0549999999999997,22.402937254317617,0.8803258055136953,4.934125900268555,0.1953642495698376,0.0195520588360398,0.0014126655352285,0.006782241,0
1.5,-0.5,0.0,1.4345454545454546,-0.5703030303030303,-0.0703030303030303,2.6000000000000005,2.45,0.0449999999999999,16.6601933668706,1.942043889127561,2.8182475566864014,0.2765599788365302,0.0195520588360398,0.0014126655352285,0.007255631,0
-2.5,-0.5,0.0,-2.563838383838384,-0.5686868686868687,-0.0686868686868686,1.33,0.9449999999999998,0.0099999999999997,113.23151062409336,12.020637203868736,74.97848510742188,0.4439640645628439,0.1027543594324049,0.0139188881941189,0.10020501,0
2.5,-0.5,0.0,2.432929292929293,-0.5703030303030303,-0.0686868686868686,1.895,1.19,0.0250000000000003,92.06180390940318,15.787960969248749,101.5841064453125,1.4957740102159855,0.1027543594324049,0.0139188881941189,0.09936745,0
-3.5,-0.5,0.0,-3.563838383838384,-0.5686868686868687,-0.0686868686868686,0.71,0.7399999999999998,0.0100000000000006,174.98023454850443,3.587538402725976,198.05455017089844,0.1210057720446078,0.1665636899210831,0.0062527563389932,0.022918995,0
3.5,-0.5,0.0,3.432929292929293,-0.5686868686868687,-0.067070707070707,1.5150000000000006,1.3000000000000005,0.02,157.79797723454746,8.904866599775843,129.75454711914062,0.2045349711951967,0.1665636899210831,0.0062527563389932,0.023757098,0
-4.5,-0.5,0.0,-4.563838383838384,-0.5686868686868687,-0.0686868686868686,0.7000000000000002,0.81,0.04,145.18640181943306,2.386930308017565,249.2014617919922,0.297801960190365,0.1308412961980012,0.0046729908796203,0.077169225,0
4.5,-0.5,0.0,4.431313131313131,-0.5686868686868687,-0.0686868686868686,2.165,2.1950000000000003,0.04,116.22190749922451,6.949255443723098,44.09520721435547,0.0807410681721499,0.1308412961980012,0.0046729908796203,0.0761645,0
-0.5,-1.5,0.0,-0.5654545454545454,-1.5703030303030303,-0.0703030303030303,1.5,1.395,0.0049999999999998,21.65984887471169,1.6184198148718765,7.501384735107422,0.1667090797479206,0.0211677439551306,0.0018616157002852,0.08930787,0
0.5,-1.5,0.0,0.4329292929292929,-1.5703030303030303,-0.0703030303030303,1.455,1.52,0.0150000000000005,20.631265018162303,2.1009090740456333,7.013869285583496,0.5306334354303694,0.0211677439551306,0.0018616157002852,0.08692575,0
-1.5,-1.5,0.0,-1.5654545454545454,-1.5703030303030303,-0.0703030303030303,0.7349999999999999,0.6699999999999999,0.0099999999999997,192.011968256722,10.0273868081695,198.9700164794922,0.1021733350897853,0.1699398928651003,0.011378571854596,0.22165103,0
1.5,-1.5,0.0,1.432929292929293,-1.5703030303030303,-0.0686868686868686,1.6149999999999998,1.48,0.0249999999999999,147.51157186805335,12.705903960133451,30.44421768188477,0.1491555193099392,0.1699398928651003,0.011378571854596,0.22289123,0
-2.5,-1.5,0.0,-2.565454545454545,-1.568686868686869,-0.0686868686868686,1.0950000000000002,1.0599999999999996,0.0,107.02056023766416,3.989630815250294,82.99058532714844,0.0626609084077629,0.0935303478776167,0.0056875390537479,0.002854781,0
2.5,-1.5,0.0,2.431313131313132,-1.5703030303030303,-0.0703030303030303,1.35,1.7000000000000002,0.0099999999999997,79.84406751467989,7.373524483778301,75.81551361083984,0.3955312972039186,0.0935303478776167,0.0056875390537479,0.0024604583,0
-3.5,-1.5,0.0,-3.563838383838384,-1.568686868686869,-0.0686868686868686,0.685,0.48,0.0099999999999997,327.6355192908265,8.380955792416593,611.6222534179688,0.2925564776016776,0.3232831461225565,0.0075865978315975,0.15926535,0
3.5,-1.5,0.0,3.431313131313132,-1.568686868686869,-0.0686868686868686,1.3249999999999995,1.3350000000000004,0.0249999999999999,318.253073338425,6.776336058600805,486.45697021484375,0.0308481540291172,0.3232831461225565,0.0075865978315975,0.15879826,0
-4.5,-1.5,0.0,-4.563838383838384,-1.5703030303030303,-0.0686868686868686,0.7949999999999999,0.875,0.0249999999999994,166.80600473212849,6.510488847579893,342.0777587890625,0.0957530897984968,0.1554467514169595,0.0080706522256998,0.003221033,0
